TYP; REGELSET; DATEI; PFAD; INFO
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (100); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (105); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (110); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (115); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (120); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (125); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (131); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (137); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (143); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
VERALTET; Basic-Versionen #3 Game Events; GameEvents.xml; /*/*/PlacementActions/GameEventAction/Description (154); Neuen Text in 'Englisch Neu' gefunden, der nicht genau gleich in 'Englisch Alt' existiert.
